,bill_id,chamber,created_at,id,session,state,subjects,title,type,updated_at
173,S 325,upper,2013-02-01 01:26:59,SCB00004855,2013-2014,SC,,"A SENATE RESOLUTION TO COMMEND AND SUPPORT THE DEMOCRATIZATION EFFORTS OF TAIWAN AND THE NATION'S MEANINGFUL PARTICIPATION IN THE WORLD HEALTH ORGANIZATION, THE INTERNATIONAL CIVIL AVIATION ORGANIZATION, AND THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE, AS WELL AS OTHER INTERNATIONAL ORGANIZATIONS.",resolution,2013-02-15 01:56:09
174,H 3461,lower,2013-01-31 01:21:29,SCB00004846,2013-2014,SC,,"A HOUSE RESOLUTION TO COMMEND AND SUPPORT THE TAIWAN'S DEMOCRATIC SYSTEM OF GOVERNMENT, ITS CLOSE RELATIONSHIP WITH THE UNITED STATES, AND THE NATION'S MEANINGFUL PARTICIPATION IN THE WORLD HEALTH ORGANIZATION, THE INTERNATIONAL CIVIL AVIATION ORGANIZATION, AND THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE, AS WELL AS OTHER INTERNATIONAL ORGANIZATIONS.",resolution,2013-02-06 01:35:00
175,SB 6013,upper,2011-12-16 05:14:33,WAB00002639,2011-2012,WA,Environmental; State Agencies; Commerce,Concerning the state integrated climate change response strategy.,bill,2012-10-18 06:57:59
176,SB 1066,upper,2012-02-15 01:50:49,CAB00008154,20112012,CA,,Coastal resources: climate change.,bill; fiscal committee,2012-10-11 14:08:42
177,SCR 162,upper,2011-05-04 16:48:26,HIB00001833,2011 Regular Session,HI,,"URGING HAWAII'S CONGRESSIONAL DELEGATION TO REQUEST THAT THE DIRECTOR OF THE OFFICE OF GLOBAL CHANGE OF THE UNITED STATES DEPARTMENT OF STATE PROPOSE TO THE CONFERENCE OF PARTIES FOR THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE THAT THE UNITED STATES HOST THE 2015 UNITED NATIONS CLIMATE CHANGE CONFERENCE IN HONOLULU, HAWAII.",concurrent resolution,2012-10-18 02:22:59
178,SCR 73,upper,2011-05-04 16:48:25,HIB00001744,2011 Regular Session,HI,,URGING THE UNITED NATIONS TO GRANT TAIWAN PARTICIPATION AS AN OBSERVER IN THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE CONFERENCE OF THE PARTIES.,concurrent resolution,2012-10-18 02:22:58
179,SR 32,upper,2011-05-04 16:48:24,HIB00001591,2011 Regular Session,HI,,URGING THE UNITED NATIONS TO GRANT TAIWAN PARTICIPATION AS AN OBSERVER IN THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE CONFERENCE OF THE PARTIES MEETINGS.,resolution,2012-10-18 02:22:59
180,HCR 59,lower,2011-05-04 16:48:39,HIB00003876,2011 Regular Session,HI,,URGING THE UNITED NATIONS TO GRANT TAIWAN PARTICIPATION AS AN OBSERVER IN THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE CONFERENCE OF THE PARTIES.,concurrent resolution,2012-08-28 02:44:02
181,HB 1187,lower,2011-02-25 17:48:54,WAB00001106,2011-2012,WA,Environmental; State Agencies,Creating the climate change accountability act.,bill,2012-10-18 06:58:27
182,HJM 4009,lower,2011-02-25 17:48:58,WAB00001953,2011-2012,WA,,Supporting the participation of Taiwan as an observer in the United Nations framework convention on climate change and in the international civil aviation organization.,joint memorial,2012-10-18 06:58:34
